customer_id,customer_name,signup_date,gender,city,area,acquisition_channel
39,Customer 39,2023-06-23,Other,Kolkata,Gariahat,Referral
40,Customer 40,2024-03-21,Female,Bengaluru,Electronic City,Referral
41,Customer 41,2023-11-14,Female,Pune,Kothrud,Social Media
42,Customer 42,2024-02-29,Male,Delhi,North Delhi,Paid Ads
43,Customer 43,2025-03-08,Male,Hyderabad,Gachibowli,Paid Ads
44,Customer 44,2025-05-31,Other,Chennai,OMR,Paid Ads
45,Customer 45,2023-06-15,Male,Kolkata,Salt Lake,Organic
46,Customer 46,2024-03-09,Female,Bengaluru,Whitefield,Paid Ads
47,Customer 47,2025-04-28,Male,Chennai,T Nagar,Referral
48,Customer 48,2025-03-21,Male,Chennai,Velachery,Paid Ads
49,Customer 49,2024-09-24,Female,Pune,Hinjewadi,Paid Ads
50,Customer 50,2025-02-03,Female,Chennai,Velachery,Referral
51,Customer 51,2024-07-30,Female,Chennai,OMR,Referral
52,Customer 52,2025-04-08,Other,Bengaluru,Indiranagar,Social Media
53,Customer 53,2024-04-26,Male,Delhi,North Delhi,Referral
54,Customer 54,2024-08-02,Male,Delhi,Central Delhi,Social Media
55,Customer 55,2024-10-15,Female,Mumbai,Bandra,Paid Ads
56,Customer 56,2023-11-01,Female,Bengaluru,Electronic City,Referral
57,Customer 57,2025-02-18,Male,Delhi,North Delhi,Referral
58,Customer 58,2024-07-30,Female,Mumbai,Powai,Social Media
59,Customer 59,2024-07-01,Male,Bengaluru,Koramangala,Social Media
60,Customer 60,2024-03-11,Female,Bengaluru,Koramangala,Organic
61,Customer 61,2024-09-25,Female,Pune,Hinjewadi,Social Media
62,Customer 62,2024-07-01,Male,Chennai,OMR,Organic
63,Customer 63,2025-02-15,Female,Kolkata,Salt Lake,Referral
64,Customer 64,2025-01-19,Female,Hyderabad,Madhapur,Paid Ads
65,Customer 65,2025-01-14,Female,Bengaluru,Whitefield,Organic
66,Customer 66,2024-07-06,Female,Bengaluru,HSR Layout,Organic
67,Customer 67,2025-03-24,Other,Kolkata,Salt Lake,Paid Ads
68,Customer 68,2025-04-09,Male,Hyderabad,Hitech City,Organic
69,Customer 69,2025-01-26,Female,Mumbai,Bandra,Referral
70,Customer 70,2025-02-10,Male,Delhi,North Delhi,Organic
71,Customer 71,2024-11-30,Female,Pune,Koregaon Park,Social Media
72,Customer 72,2024-05-23,Female,Kolkata,Howrah,Paid Ads
73,Customer 73,2024-06-06,Female,Hyderabad,Secunderabad,Paid Ads
74,Customer 74,2024-08-24,Female,Bengaluru,Electronic City,Organic
75,Customer 75,2024-11-18,Female,Pune,Kothrud,Social Media
76,Customer 76,2023-07-30,Male,Chennai,T Nagar,Referral
77,Customer 77,2023-09-06,Male,Chennai,Adyar,Social Media
78,Customer 78,2025-05-27,Male,Mumbai,Bandra,Organic
79,Customer 79,2023-07-20,Male,Mumbai,Andheri,Paid Ads
80,Customer 80,2024-04-22,Female,Hyderabad,Madhapur,Referral
81,Customer 81,2023-08-26,Male,Delhi,North Delhi,Referral
82,Customer 82,2024-06-20,Female,Chennai,Velachery,Paid Ads
83,Customer 83,2025-03-15,Male,Delhi,North Delhi,Referral
84,Customer 84,2025-03-20,Male,Kolkata,Park Street,Paid Ads
85,Customer 85,2025-04-15,Female,Delhi,Central Delhi,Social Media
86,Customer 86,2024-10-05,Female,Chennai,T Nagar,Referral
87,Customer 87,2025-02-14,Female,Kolkata,Park Street,Organic
88,Customer 88,2023-11-06,Male,Delhi,North Delhi,Referral
89,Customer 89,2024-09-17,Male,Pune,Hinjewadi,Paid Ads
90,Customer 90,2024-09-21,Other,Delhi,East Delhi,Referral
91,Customer 91,2024-08-02,Male,Chennai,OMR,Referral
92,Customer 92,2023-06-06,Male,Pune,Koregaon Park,Paid Ads
93,Customer 93,2025-05-04,Male,Delhi,Central Delhi,Organic
94,Customer 94,2024-10-28,Female,Hyderabad,Secunderabad,Referral
95,Customer 95,2023-08-05,Male,Delhi,South Delhi,Social Media
96,Customer 96,2024-07-24,Male,Chennai,Adyar,Referral
97,Customer 97,2025-05-29,Female,Pune,Kothrud,Social Media
98,Customer 98,2024-06-03,Female,Hyderabad,Madhapur,Referral
99,Customer 99,2024-08-31,Male,Mumbai,Navi Mumbai,Paid Ads
100,Customer 100,2025-05-17,Male,Chennai,OMR,Organic
101,Customer 101,2023-09-09,Male,Hyderabad,Secunderabad,Paid Ads
102,Customer 102,2023-06-18,Female,Bengaluru,Indiranagar,Organic
103,Customer 103,2024-09-01,Male,Kolkata,Park Street,Referral
104,Customer 104,2024-02-13,Female,Hyderabad,Madhapur,Referral
105,Customer 105,2023-12-12,Female,Chennai,OMR,Organic
106,Customer 106,2024-11-01,Male,Hyderabad,Hitech City,Referral
107,Customer 107,2024-05-03,Female,Bengaluru,Indiranagar,Organic
108,Customer 108,2025-02-12,Male,Kolkata,Howrah,Organic
109,Customer 109,2024-10-16,Female,Chennai,OMR,Paid Ads
110,Customer 110,2025-04-28,Female,Delhi,North Delhi,Referral
111,Customer 111,2024-05-28,Female,Pune,Koregaon Park,Paid Ads
112,Customer 112,2023-11-25,Male,Kolkata,Salt Lake,Social Media
113,Customer 113,2023-12-31,Female,Bengaluru,Electronic City,Social Media
114,Customer 114,2024-07-16,Female,Bengaluru,HSR Layout,Paid Ads
115,Customer 115,2024-07-21,Other,Delhi,South Delhi,Social Media
116,Customer 116,2024-05-20,Male,Chennai,T Nagar,Referral
117,Customer 117,2023-08-09,Male,Pune,Kothrud,Paid Ads
118,Customer 118,2023-10-28,Male,Delhi,North Delhi,Organic
119,Customer 119,2024-01-02,Female,Hyderabad,Hitech City,Social Media
120,Customer 120,2024-03-12,Male,Hyderabad,Secunderabad,Referral
121,Customer 121,2023-10-03,Male,Hyderabad,Madhapur,Paid Ads
122,Customer 122,2025-01-15,Male,Mumbai,Thane,Social Media
123,Customer 123,2024-10-01,Male,Hyderabad,Gachibowli,Social Media
124,Customer 124,2024-10-15,Other,Kolkata,Salt Lake,Referral
125,Customer 125,2024-10-21,Female,Kolkata,Howrah,Referral
126,Customer 126,2024-02-19,Other,Kolkata,Gariahat,Organic
127,Customer 127,2025-05-28,Male,Bengaluru,Indiranagar,Paid Ads
128,Customer 128,2025-02-03,Male,Kolkata,Park Street,Paid Ads
129,Customer 129,2024-01-14,Female,Pune,Koregaon Park,Referral
130,Customer 130,2023-11-05,Female,Bengaluru,Electronic City,Paid Ads
131,Customer 131,2023-06-17,Female,Hyderabad,Secunderabad,Social Media
132,Customer 132,2024-03-23,Female,Chennai,T Nagar,Paid Ads
133,Customer 133,2023-08-26,Male,Mumbai,Thane,Organic
134,Customer 134,2025-02-03,Female,Bengaluru,HSR Layout,Paid Ads
135,Customer 135,2023-06-08,Female,Hyderabad,Gachibowli,Paid Ads
136,Customer 136,2025-02-08,Female,Delhi,North Delhi,Referral
137,Customer 137,2025-05-31,Female,Kolkata,Salt Lake,Paid Ads
138,Customer 138,2024-07-16,Male,Delhi,Central Delhi,Paid Ads
139,Customer 139,2025-01-13,Female,Delhi,North Delhi,Paid Ads
140,Customer 140,2024-09-15,Male,Kolkata,Park Street,Organic
141,Customer 141,2023-07-12,Male,Hyderabad,Secunderabad,Referral
142,Customer 142,2024-09-13,Male,Pune,Koregaon Park,Organic
143,Customer 143,2024-12-11,Male,Kolkata,Gariahat,Paid Ads
144,Customer 144,2024-12-15,Female,Bengaluru,HSR Layout,Organic
145,Customer 145,2024-07-15,Male,Pune,Kothrud,Social Media
146,Customer 146,2024-07-07,Female,Chennai,Velachery,Social Media
147,Customer 147,2023-11-29,Male,Chennai,Adyar,Paid Ads
148,Customer 148,2023-10-04,Male,Delhi,South Delhi,Paid Ads
149,Customer 149,2023-10-29,Female,Mumbai,Powai,Organic
150,Customer 150,2024-10-08,Male,Delhi,West Delhi,Organic
151,Customer 151,2024-05-21,Other,Bengaluru,Indiranagar,Referral
152,Customer 152,2023-10-22,Male,Hyderabad,Gachibowli,Social Media
153,Customer 153,2024-01-05,Female,Pune,Koregaon Park,Social Media
154,Customer 154,2023-11-07,Female,Mumbai,Bandra,Organic
155,Customer 155,2024-10-15,Male,Pune,Koregaon Park,Social Media
156,Customer 156,2024-08-14,Male,Hyderabad,Gachibowli,Social Media
157,Customer 157,2025-05-27,Male,Hyderabad,Secunderabad,Paid Ads
158,Customer 158,2025-03-15,Female,Bengaluru,Koramangala,Paid Ads
159,Customer 159,2025-01-20,Male,Bengaluru,Electronic City,Social Media
160,Customer 160,2025-04-20,Male,Delhi,East Delhi,Referral
161,Customer 161,2024-08-09,Male,Pune,Hinjewadi,Paid Ads
162,Customer 162,2023-09-24,Male,Chennai,Velachery,Paid Ads
163,Customer 163,2023-07-11,Female,Kolkata,Gariahat,Social Media
164,Customer 164,2025-05-09,Male,Hyderabad,Madhapur,Organic
165,Customer 165,2023-08-06,Male,Mumbai,Thane,Referral
166,Customer 166,2024-01-15,Female,Pune,Hinjewadi,Referral
167,Customer 167,2023-09-24,Male,Delhi,East Delhi,Referral
168,Customer 168,2025-04-23,Male,Delhi,Central Delhi,Organic
169,Customer 169,2023-08-25,Male,Pune,Koregaon Park,Referral
170,Customer 170,2024-12-04,Male,Kolkata,Park Street,Referral
171,Customer 171,2024-03-10,Male,Mumbai,Bandra,Referral
172,Customer 172,2023-09-17,Female,Chennai,T Nagar,Organic
173,Customer 173,2024-02-09,Female,Chennai,Adyar,Referral
174,Customer 174,2024-04-07,Other,Kolkata,Howrah,Organic
175,Customer 175,2024-03-17,Male,Pune,Hinjewadi,Social Media
176,Customer 176,2024-04-16,Female,Delhi,West Delhi,Referral
177,Customer 177,2024-09-20,Male,Chennai,OMR,Social Media
178,Customer 178,2023-12-27,Male,Mumbai,Bandra,Referral
179,Customer 179,2025-02-03,Female,Pune,Hinjewadi,Social Media
180,Customer 180,2024-12-24,Male,Bengaluru,HSR Layout,Referral
181,Customer 181,2024-10-28,Female,Chennai,Velachery,Organic
182,Customer 182,2025-05-17,Female,Hyderabad,Hitech City,Social Media
183,Customer 183,2024-09-13,Male,Kolkata,Park Street,Paid Ads
184,Customer 184,2024-07-12,Female,Kolkata,Gariahat,Organic
185,Customer 185,2025-01-22,Male,Kolkata,Howrah,Organic
186,Customer 186,2023-09-13,Female,Bengaluru,Electronic City,Organic
187,Customer 187,2024-08-13,Female,Hyderabad,Secunderabad,Referral
188,Customer 188,2024-08-22,Male,Pune,Koregaon Park,Referral
189,Customer 189,2025-05-21,Other,Delhi,North Delhi,Paid Ads
190,Customer 190,2023-11-29,Male,Delhi,Central Delhi,Referral
191,Customer 191,2025-05-09,Male,Pune,Viman Nagar,Organic
192,Customer 192,2024-08-03,Female,Chennai,OMR,Referral
193,Customer 193,2024-10-26,Female,Chennai,OMR,Organic
194,Customer 194,2024-11-03,Female,Mumbai,Andheri,Organic
195,Customer 195,2023-09-17,Female,Bengaluru,HSR Layout,Organic
196,Customer 196,2023-07-19,Female,Delhi,North Delhi,Social Media
197,Customer 197,2024-06-10,Female,Hyderabad,Madhapur,Referral
198,Customer 198,2025-01-19,Female,Chennai,OMR,Social Media
199,Customer 199,2025-01-25,Male,Hyderabad,Hitech City,Paid Ads
200,Customer 200,2023-10-06,Male,Pune,Koregaon Park,Referral
201,Customer 201,2025-04-11,Female,Delhi,West Delhi,Social Media
202,Customer 202,2024-08-09,Female,Hyderabad,Madhapur,Social Media
203,Customer 203,2024-04-20,Male,Kolkata,Gariahat,Organic
204,Customer 204,2023-09-27,Other,Chennai,Velachery,Referral
205,Customer 205,2023-09-18,Male,Delhi,East Delhi,Referral
206,Customer 206,2025-05-31,Female,Mumbai,Andheri,Paid Ads
207,Customer 207,2023-11-12,Male,Delhi,North Delhi,Organic
208,Customer 208,2023-08-10,Male,Delhi,West Delhi,Social Media
209,Customer 209,2024-07-27,Male,Mumbai,Navi Mumbai,Social Media
210,Customer 210,2024-03-22,Female,Delhi,Central Delhi,Social Media
211,Customer 211,2023-08-05,Male,Pune,Viman Nagar,Social Media
212,Customer 212,2023-11-04,Male,Bengaluru,Whitefield,Organic
213,Customer 213,2023-10-08,Female,Bengaluru,Whitefield,Social Media
214,Customer 214,2024-05-11,Male,Pune,Hinjewadi,Social Media
215,Customer 215,2024-02-12,Female,Delhi,South Delhi,Social Media
216,Customer 216,2023-12-20,Female,Delhi,West Delhi,Social Media
217,Customer 217,2024-12-04,Male,Pune,Hinjewadi,Organic
218,Customer 218,2025-05-07,Male,Mumbai,Powai,Organic
219,Customer 219,2023-06-22,Male,Mumbai,Thane,Organic
220,Customer 220,2024-12-22,Male,Chennai,Adyar,Paid Ads
221,Customer 221,2025-03-30,Male,Hyderabad,Secunderabad,Organic
222,Customer 222,2023-08-05,Male,Hyderabad,Gachibowli,Organic
223,Customer 223,2024-02-18,Female,Chennai,Velachery,Paid Ads
224,Customer 224,2025-03-09,Male,Chennai,Adyar,Organic
225,Customer 225,2025-01-04,Male,Hyderabad,Madhapur,Paid Ads
226,Customer 226,2024-02-11,Female,Chennai,Adyar,Paid Ads
227,Customer 227,2024-06-06,Female,Chennai,OMR,Organic
228,Customer 228,2025-01-11,Male,Delhi,West Delhi,Social Media
229,Customer 229,2024-03-23,Male,Delhi,North Delhi,Referral
230,Customer 230,2023-06-09,Male,Pune,Hinjewadi,Paid Ads
231,Customer 231,2023-08-01,Male,Pune,Hinjewadi,Paid Ads
232,Customer 232,2024-03-29,Male,Pune,Koregaon Park,Organic
233,Customer 233,2025-01-08,Female,Kolkata,Salt Lake,Social Media
234,Customer 234,2025-05-14,Male,Hyderabad,Madhapur,Social Media
235,Customer 235,2024-05-26,Male,Hyderabad,Secunderabad,Paid Ads
236,Customer 236,2024-11-19,Female,Hyderabad,Madhapur,Organic
237,Customer 237,2025-02-08,Male,Bengaluru,HSR Layout,Referral
238,Customer 238,2023-07-24,Female,Chennai,Velachery,Referral
239,Customer 239,2023-08-27,Male,Mumbai,Thane,Organic
240,Customer 240,2025-04-07,Female,Delhi,South Delhi,Organic
241,Customer 241,2024-02-29,Female,Hyderabad,Hitech City,Referral
242,Customer 242,2024-12-21,Male,Kolkata,Park Street,Organic
243,Customer 243,2025-03-06,Other,Pune,Hinjewadi,Organic
244,Customer 244,2024-12-05,Female,Hyderabad,Secunderabad,Paid Ads
245,Customer 245,2025-05-24,Male,Kolkata,Salt Lake,Referral
246,Customer 246,2024-03-15,Female,Pune,Hinjewadi,Referral
247,Customer 247,2024-07-08,Male,Delhi,Central Delhi,Social Media
248,Customer 248,2024-10-05,Female,Mumbai,Thane,Social Media
249,Customer 249,2025-04-11,Female,Kolkata,Salt Lake,Referral
250,Customer 250,2024-09-10,Male,Kolkata,Gariahat,Organic
251,Customer 251,2025-02-25,Other,Kolkata,Gariahat,Social Media
252,Customer 252,2024-08-17,Female,Kolkata,Howrah,Organic
253,Customer 253,2024-01-27,Other,Pune,Hinjewadi,Organic
254,Customer 254,2024-01-18,Female,Mumbai,Powai,Referral
255,Customer 255,2024-02-18,Male,Bengaluru,Indiranagar,Organic
256,Customer 256,2025-05-25,Female,Mumbai,Bandra,Paid Ads
257,Customer 257,2023-07-29,Male,Delhi,North Delhi,Organic
258,Customer 258,2025-01-05,Male,Delhi,Central Delhi,Social Media
259,Customer 259,2023-12-01,Female,Hyderabad,Madhapur,Paid Ads
260,Customer 260,2025-03-11,Female,Bengaluru,Whitefield,Referral
261,Customer 261,2023-06-23,Male,Bengaluru,Indiranagar,Organic
262,Customer 262,2024-05-11,Male,Delhi,North Delhi,Social Media
263,Customer 263,2025-02-02,Male,Kolkata,Salt Lake,Organic
264,Customer 264,2024-09-13,Male,Bengaluru,HSR Layout,Paid Ads
265,Customer 265,2024-09-18,Female,Hyderabad,Madhapur,Paid Ads
266,Customer 266,2024-10-18,Female,Bengaluru,Whitefield,Organic
267,Customer 267,2024-01-18,Other,Bengaluru,HSR Layout,Organic
268,Customer 268,2024-06-02,Male,Bengaluru,Electronic City,Paid Ads
269,Customer 269,2023-06-18,Female,Pune,Hinjewadi,Organic
270,Customer 270,2025-04-03,Female,Mumbai,Thane,Organic
271,Customer 271,2025-01-24,Male,Delhi,North Delhi,Referral
272,Customer 272,2025-02-06,Female,Mumbai,Bandra,Referral
273,Customer 273,2023-12-28,Female,Bengaluru,Indiranagar,Organic
274,Customer 274,2024-10-07,Male,Delhi,East Delhi,Paid Ads
275,Customer 275,2024-11-12,Male,Mumbai,Bandra,Paid Ads
276,Customer 276,2024-10-09,Male,Pune,Viman Nagar,Referral
277,Customer 277,2023-08-05,Female,Delhi,East Delhi,Organic
278,Customer 278,2025-02-12,Female,Hyderabad,Hitech City,Paid Ads
279,Customer 279,2025-03-18,Female,Delhi,West Delhi,Paid Ads
280,Customer 280,2025-01-24,Male,Pune,Koregaon Park,Paid Ads
281,Customer 281,2024-06-10,Male,Bengaluru,Koramangala,Paid Ads
282,Customer 282,2025-04-28,Female,Delhi,West Delhi,Social Media
283,Customer 283,2024-12-30,Male,Kolkata,Howrah,Referral
284,Customer 284,2023-10-22,Male,Delhi,East Delhi,Organic
285,Customer 285,2024-06-24,Male,Mumbai,Thane,Paid Ads
286,Customer 286,2024-08-18,Female,Pune,Kothrud,Paid Ads
287,Customer 287,2024-12-15,Male,Kolkata,Gariahat,Referral
288,Customer 288,2024-03-03,Female,Mumbai,Powai,Social Media
289,Customer 289,2024-04-26,Male,Delhi,Central Delhi,Organic
290,Customer 290,2024-02-11,Female,Pune,Viman Nagar,Referral
291,Customer 291,2023-11-21,Male,Bengaluru,Whitefield,Social Media
292,Customer 292,2024-06-03,Male,Delhi,North Delhi,Referral
293,Customer 293,2023-07-09,Female,Mumbai,Bandra,Social Media
294,Customer 294,2025-05-03,Male,Kolkata,Salt Lake,Social Media
295,Customer 295,2024-08-09,Male,Kolkata,Howrah,Paid Ads
296,Customer 296,2023-07-26,Female,Kolkata,Howrah,Referral
297,Customer 297,2024-10-17,Female,Kolkata,Gariahat,Social Media
298,Customer 298,2025-04-07,Female,Hyderabad,Hitech City,Paid Ads
299,Customer 299,2024-04-21,Female,Hyderabad,Secunderabad,Referral
300,Customer 300,2024-08-16,Male,Pune,Kothrud,Referral
301,Customer 301,2025-01-04,Male,Pune,Kothrud,Referral
302,Customer 302,2024-09-30,Male,Hyderabad,Madhapur,Organic
303,Customer 303,2024-01-11,Female,Delhi,West Delhi,Referral
304,Customer 304,2024-02-05,Female,Delhi,South Delhi,Paid Ads
305,Customer 305,2024-03-08,Male,Hyderabad,Hitech City,Paid Ads
306,Customer 306,2023-06-19,Male,Kolkata,Park Street,Referral
307,Customer 307,2023-08-30,Male,Pune,Koregaon Park,Social Media
308,Customer 308,2023-09-24,Male,Delhi,East Delhi,Organic
309,Customer 309,2025-04-23,Male,Kolkata,Gariahat,Organic
310,Customer 310,2024-01-20,Female,Pune,Viman Nagar,Organic
311,Customer 311,2024-12-11,Other,Mumbai,Thane,Paid Ads
312,Customer 312,2025-02-19,Female,Pune,Viman Nagar,Referral
313,Customer 313,2024-08-30,Male,Bengaluru,Indiranagar,Paid Ads
314,Customer 314,2025-05-15,Other,Hyderabad,Secunderabad,Organic
315,Customer 315,2024-01-21,Male,Kolkata,Gariahat,Organic
316,Customer 316,2024-07-18,Other,Bengaluru,Koramangala,Paid Ads
317,Customer 317,2024-06-27,Female,Bengaluru,Indiranagar,Social Media
318,Customer 318,2023-08-10,Female,Bengaluru,Koramangala,Social Media
319,Customer 319,2024-02-02,Female,Bengaluru,Indiranagar,Paid Ads
320,Customer 320,2023-06-22,Other,Mumbai,Navi Mumbai,Organic
321,Customer 321,2024-02-21,Male,Bengaluru,Electronic City,Paid Ads
322,Customer 322,2023-08-16,Female,Chennai,Velachery,Social Media
323,Customer 323,2024-01-29,Female,Chennai,Adyar,Paid Ads
324,Customer 324,2025-04-15,Male,Pune,Hinjewadi,Organic
325,Customer 325,2025-05-16,Female,Bengaluru,Indiranagar,Social Media
326,Customer 326,2025-03-07,Female,Mumbai,Powai,Paid Ads
327,Customer 327,2024-07-01,Female,Mumbai,Bandra,Social Media
328,Customer 328,2025-01-15,Male,Mumbai,Andheri,Referral
329,Customer 329,2024-01-20,Male,Kolkata,Salt Lake,Organic
330,Customer 330,2024-02-10,Male,Chennai,Velachery,Social Media
331,Customer 331,2024-05-25,Female,Pune,Koregaon Park,Social Media
332,Customer 332,2024-04-25,Female,Mumbai,Bandra,Social Media
333,Customer 333,2023-09-25,Male,Chennai,OMR,Organic
334,Customer 334,2024-12-24,Male,Hyderabad,Secunderabad,Social Media
335,Customer 335,2023-09-20,Male,Hyderabad,Secunderabad,Paid Ads
336,Customer 336,2025-02-23,Female,Mumbai,Navi Mumbai,Social Media
337,Customer 337,2024-12-12,Male,Bengaluru,HSR Layout,Social Media
338,Customer 338,2024-11-30,Male,Bengaluru,Electronic City,Paid Ads
339,Customer 339,2025-04-23,Male,Hyderabad,Secunderabad,Paid Ads
340,Customer 340,2024-01-21,Female,Pune,Koregaon Park,Social Media
341,Customer 341,2024-04-30,Female,Kolkata,Park Street,Social Media
342,Customer 342,2025-05-16,Male,Kolkata,Gariahat,Organic
343,Customer 343,2025-02-13,Male,Chennai,OMR,Referral
344,Customer 344,2024-07-25,Male,Pune,Kothrud,Organic
345,Customer 345,2023-12-03,Male,Bengaluru,Koramangala,Social Media
346,Customer 346,2025-01-11,Male,Bengaluru,HSR Layout,Social Media
347,Customer 347,2023-10-02,Female,Kolkata,Howrah,Organic
348,Customer 348,2025-04-23,Male,Mumbai,Thane,Referral
349,Customer 349,2025-05-03,Female,Delhi,East Delhi,Organic
350,Customer 350,2024-02-10,Male,Hyderabad,Secunderabad,Social Media
351,Customer 351,2023-07-05,Female,Hyderabad,Hitech City,Referral
352,Customer 352,2024-10-05,Male,Mumbai,Andheri,Referral
353,Customer 353,2024-06-07,Female,Delhi,West Delhi,Social Media
354,Customer 354,2023-11-02,Male,Mumbai,Andheri,Referral
355,Customer 355,2025-05-29,Male,Kolkata,Howrah,Social Media
356,Customer 356,2024-05-21,Male,Kolkata,Howrah,Paid Ads
357,Customer 357,2024-07-12,Female,Pune,Kothrud,Organic
358,Customer 358,2024-08-12,Male,Delhi,West Delhi,Social Media
359,Customer 359,2023-06-27,Female,Kolkata,Park Street,Paid Ads
360,Customer 360,2023-10-25,Male,Delhi,West Delhi,Social Media
361,Customer 361,2024-06-22,Male,Bengaluru,Koramangala,Organic
362,Customer 362,2024-11-26,Female,Mumbai,Thane,Paid Ads
363,Customer 363,2025-04-01,Male,Delhi,South Delhi,Paid Ads
364,Customer 364,2024-05-17,Male,Pune,Kothrud,Social Media
365,Customer 365,2024-03-18,Female,Chennai,T Nagar,Referral
366,Customer 366,2024-06-22,Male,Hyderabad,Hitech City,Referral
367,Customer 367,2024-10-18,Male,Mumbai,Navi Mumbai,Paid Ads
368,Customer 368,2023-11-15,Male,Mumbai,Andheri,Referral
369,Customer 369,2023-10-26,Female,Delhi,Central Delhi,Organic
370,Customer 370,2023-11-04,Male,Hyderabad,Madhapur,Organic
371,Customer 371,2024-10-01,Female,Chennai,OMR,Referral
372,Customer 372,2024-07-06,Male,Bengaluru,Koramangala,Referral
373,Customer 373,2024-10-26,Male,Kolkata,Salt Lake,Referral
374,Customer 374,2024-01-12,Female,Mumbai,Andheri,Referral
375,Customer 375,2024-01-01,Male,Mumbai,Andheri,Referral
376,Customer 376,2025-04-15,Male,Pune,Hinjewadi,Social Media
377,Customer 377,2023-12-28,Female,Kolkata,Howrah,Paid Ads
378,Customer 378,2023-11-06,Male,Chennai,T Nagar,Social Media
379,Customer 379,2024-04-08,Female,Delhi,East Delhi,Organic
380,Customer 380,2025-03-31,Other,Bengaluru,Whitefield,Organic
381,Customer 381,2025-05-29,Female,Kolkata,Park Street,Organic
382,Customer 382,2025-02-01,Female,Bengaluru,Indiranagar,Paid Ads
383,Customer 383,2025-03-04,Female,Kolkata,Howrah,Referral
384,Customer 384,2024-06-09,Male,Delhi,North Delhi,Referral
385,Customer 385,2023-09-23,Male,Bengaluru,Koramangala,Referral
386,Customer 386,2023-09-05,Male,Bengaluru,Koramangala,Referral
387,Customer 387,2023-08-22,Male,Hyderabad,Madhapur,Paid Ads
388,Customer 388,2024-07-04,Male,Hyderabad,Secunderabad,Social Media
389,Customer 389,2024-02-24,Female,Hyderabad,Madhapur,Referral
390,Customer 390,2024-09-13,Female,Kolkata,Gariahat,Organic
391,Customer 391,2024-10-18,Male,Chennai,OMR,Organic
392,Customer 392,2025-04-24,Male,Hyderabad,Gachibowli,Referral
393,Customer 393,2024-12-07,Male,Bengaluru,Koramangala,Organic
394,Customer 394,2024-03-04,Other,Bengaluru,Indiranagar,Referral
395,Customer 395,2023-07-14,Female,Hyderabad,Madhapur,Social Media
396,Customer 396,2023-10-17,Male,Chennai,OMR,Referral
397,Customer 397,2024-08-04,Male,Hyderabad,Hitech City,Referral
398,Customer 398,2024-06-17,Female,Pune,Koregaon Park,Referral
399,Customer 399,2024-07-13,Male,Chennai,Adyar,Organic
400,Customer 400,2025-04-22,Female,Chennai,OMR,Referral
