order_id,customer_id,restaurant_id,order_datetime,order_status,payment_method,delivery_fee,platform_discount,restaurant_discount,gross_order_value,net_order_value,platform_commission_pct,platform_commission_amount
19,379,198,2025-09-27 21:35:27,Cancelled,COD,35.0,0.0,0.0,241.79,241.79,27.21,65.79
20,962,46,2025-08-25 16:29:04,Delivered,Wallet,15.0,26.95,15.8,202.35,159.6,20.99,33.5
21,2163,188,2025-07-01 20:22:56,Delivered,Card,0.0,0.0,0.0,1128.88,1128.88,20.13,227.24
22,2740,173,2025-08-24 22:19:37,Delivered,UPI,0.0,102.05,38.19,953.82,813.58,17.59,143.11
23,13,147,2025-06-12 18:56:50,Delivered,COD,35.0,20.33,25.07,764.18,718.78,29.68,213.33
24,1439,69,2025-08-27 17:53:32,Delivered,Card,25.0,94.08,32.83,723.56,596.65,29.45,175.71
25,2304,112,2025-07-17 21:08:39,Delivered,UPI,25.0,113.78,116.79,804.29,573.72,19.11,109.64
26,169,74,2025-06-24 11:48:17,Cancelled,Card,25.0,18.94,8.91,283.47,255.62,27.8,71.06
27,1103,177,2025-07-03 18:20:16,Delivered,UPI,35.0,85.29,33.38,526.66,407.99,22.08,90.08
28,2494,33,2025-09-11 17:17:08,Delivered,UPI,35.0,128.76,87.79,751.41,534.86,23.36,124.94
29,842,88,2025-08-24 20:26:15,Delivered,UPI,35.0,42.88,26.54,472.44,403.02,16.23,65.41
30,2851,21,2025-07-20 20:35:47,Delivered,UPI,15.0,0.0,0.0,630.65,630.65,16.15,101.85
31,437,61,2025-07-08 12:19:05,Delivered,Card,25.0,0.0,0.0,1142.57,1142.57,15.78,180.3
32,1145,142,2025-09-30 15:06:45,Cancelled,UPI,35.0,27.58,17.81,348.43,303.04,16.23,49.18
33,496,24,2025-09-17 15:26:24,Delivered,UPI,0.0,0.0,0.0,283.59,283.59,24.88,70.56
34,320,72,2025-06-20 15:41:21,Delivered,UPI,25.0,0.0,0.0,154.11,154.11,27.98,43.12
35,999,100,2025-09-02 16:18:11,Delivered,Card,25.0,0.0,0.0,360.75,360.75,16.16,58.3
36,84,15,2025-09-24 13:21:49,Delivered,COD,25.0,170.07,74.23,709.49,465.19,26.75,124.44
37,2487,50,2025-06-14 15:09:34,Returned,UPI,25.0,137.89,91.11,856.28,627.28,15.49,97.17
38,21,138,2025-07-13 12:47:21,Delivered,COD,0.0,0.0,0.0,166.64,166.64,18.82,31.36
39,846,200,2025-06-09 18:50:34,Delivered,UPI,35.0,0.0,0.0,205.47,205.47,20.54,42.2
40,2274,6,2025-08-25 23:02:11,Delivered,UPI,35.0,24.47,30.33,484.76,429.96,20.84,89.6
41,1182,160,2025-09-18 15:50:23,Delivered,UPI,15.0,0.0,0.0,882.3,882.3,30.0,264.69
42,975,24,2025-08-04 11:43:11,Delivered,UPI,25.0,191.19,98.45,888.44,598.8,26.51,158.74
43,1066,28,2025-08-21 23:17:27,Delivered,UPI,0.0,30.76,12.62,279.48,236.1,19.02,44.91
44,2376,103,2025-08-02 19:56:36,Delivered,Card,15.0,18.63,9.97,349.9,321.3,29.34,94.27
45,1514,108,2025-09-20 18:06:37,Cancelled,Card,25.0,66.39,34.56,333.22,232.27,21.29,49.45
46,2823,151,2025-07-31 16:45:33,Delivered,Card,35.0,0.0,0.0,944.77,944.77,17.81,168.26
47,793,116,2025-08-17 21:24:18,Cancelled,UPI,35.0,34.15,48.16,494.13,411.82,24.95,102.75
48,1742,161,2025-09-20 19:18:29,Delivered,UPI,35.0,0.0,0.0,635.14,635.14,29.72,188.76
49,2811,168,2025-09-16 22:58:29,Delivered,Card,35.0,0.0,0.0,625.39,625.39,24.79,155.03
50,1893,188,2025-09-05 15:43:39,Cancelled,Card,0.0,18.05,21.47,215.57,176.05,21.48,37.82
51,2346,98,2025-06-09 17:22:34,Returned,Card,25.0,0.0,0.0,1192.26,1192.26,20.25,241.43
52,2990,152,2025-09-06 23:21:10,Delivered,UPI,35.0,107.41,71.14,812.75,634.2,20.51,130.07
53,2796,127,2025-06-17 10:46:45,Delivered,UPI,0.0,0.0,0.0,441.4,441.4,23.43,103.42
54,1722,85,2025-08-08 19:05:55,Delivered,UPI,0.0,28.12,14.01,230.56,188.43,21.13,39.82
55,921,177,2025-07-19 18:10:53,Delivered,UPI,0.0,30.62,12.81,249.12,205.69,19.29,39.68
56,2851,77,2025-07-22 15:42:22,Delivered,UPI,0.0,0.0,0.0,437.35,437.35,19.02,83.18
57,192,103,2025-06-12 16:58:54,Delivered,UPI,15.0,0.0,0.0,619.88,619.88,29.18,180.88
58,439,119,2025-07-06 18:23:43,Delivered,UPI,25.0,45.94,52.71,628.24,529.59,15.9,84.2
59,1706,140,2025-09-09 18:22:07,Delivered,Card,0.0,0.0,0.0,702.06,702.06,27.41,192.43
60,2288,122,2025-09-15 15:04:12,Delivered,UPI,0.0,60.77,36.79,408.99,311.43,18.99,59.14
61,598,126,2025-06-08 10:51:26,Delivered,UPI,35.0,108.23,79.2,615.1,427.67,27.85,119.11
62,881,64,2025-09-01 11:19:15,Delivered,COD,15.0,78.33,22.57,495.53,394.63,18.12,71.51
63,503,145,2025-08-18 18:38:41,Cancelled,COD,15.0,0.0,0.0,922.01,922.01,29.83,275.04
64,116,163,2025-09-06 15:55:53,Delivered,Card,15.0,0.0,0.0,556.61,556.61,23.86,132.81
65,1110,159,2025-09-15 19:55:56,Delivered,COD,35.0,28.15,34.34,740.25,677.76,25.62,173.64
66,1814,192,2025-06-08 20:19:50,Delivered,UPI,0.0,0.0,0.0,1199.44,1199.44,15.95,191.31
67,1964,34,2025-09-22 16:57:48,Delivered,UPI,35.0,102.34,105.6,780.64,572.7,20.21,115.74
68,1068,128,2025-09-16 23:16:58,Delivered,COD,35.0,11.46,3.35,208.13,193.32,25.89,50.05
69,1696,138,2025-06-11 15:05:58,Delivered,Card,35.0,0.0,0.0,941.46,941.46,22.92,215.78
70,552,19,2025-08-06 11:52:50,Delivered,Wallet,35.0,38.93,14.06,268.01,215.02,25.72,55.3
71,2444,138,2025-08-10 23:54:00,Delivered,UPI,0.0,61.95,39.65,1085.88,984.28,18.02,177.37
72,2273,199,2025-09-30 17:10:08,Delivered,COD,25.0,0.0,0.0,960.05,960.05,20.23,194.22
73,2277,167,2025-08-27 10:11:33,Delivered,Card,15.0,0.0,0.0,394.55,394.55,18.14,71.57
74,2123,34,2025-09-11 13:10:28,Delivered,UPI,35.0,0.0,0.0,219.99,219.99,26.03,57.26
75,967,102,2025-06-08 22:36:01,Delivered,UPI,25.0,120.53,40.78,492.41,331.1,28.32,93.77
76,359,194,2025-06-19 13:57:05,Cancelled,Wallet,25.0,20.43,12.33,432.03,399.27,18.61,74.3
77,92,139,2025-09-05 10:12:36,Delivered,UPI,25.0,0.0,0.0,949.06,949.06,23.31,221.23
78,605,164,2025-09-09 19:52:16,Delivered,UPI,0.0,80.47,38.08,755.78,637.23,24.84,158.29
79,2649,154,2025-07-25 16:19:32,Delivered,COD,35.0,0.0,0.0,231.77,231.77,15.9,36.85
80,413,8,2025-08-27 12:24:18,Cancelled,Card,15.0,0.0,0.0,240.95,240.95,20.1,48.43
81,2189,33,2025-06-05 19:12:26,Delivered,UPI,0.0,0.0,0.0,879.88,879.88,26.23,230.79
82,1584,191,2025-08-17 21:27:43,Cancelled,Card,0.0,82.03,31.45,710.15,596.67,22.12,131.98
83,1354,107,2025-08-09 13:23:11,Delivered,COD,15.0,25.56,32.44,952.3,894.3,24.94,223.04
84,2906,200,2025-07-21 17:47:37,Delivered,UPI,35.0,0.0,0.0,717.87,717.87,19.29,138.48
85,2827,12,2025-07-12 11:38:06,Delivered,UPI,35.0,109.88,95.43,849.05,643.74,24.15,155.46
86,2748,130,2025-09-10 12:42:30,Delivered,UPI,0.0,85.53,94.22,672.41,492.66,27.88,137.35
87,2119,143,2025-06-18 11:51:40,Delivered,UPI,25.0,39.08,47.0,588.87,502.79,23.4,117.65
88,2424,1,2025-08-22 11:20:19,Delivered,UPI,35.0,0.0,0.0,226.49,226.49,17.28,39.14
89,1310,126,2025-09-05 17:13:35,Delivered,UPI,35.0,0.0,0.0,288.3,288.3,22.85,65.88
90,2486,26,2025-08-05 15:45:00,Delivered,COD,15.0,0.0,0.0,474.84,474.84,21.01,99.76
91,2090,156,2025-06-29 20:02:51,Delivered,COD,15.0,46.96,32.24,586.02,506.82,24.93,126.35
92,56,122,2025-09-14 11:16:29,Delivered,UPI,35.0,85.36,33.3,388.57,269.91,23.18,62.57
93,2404,124,2025-07-10 22:03:08,Delivered,Card,0.0,0.0,0.0,1014.93,1014.93,17.31,175.68
94,638,7,2025-08-19 14:15:00,Cancelled,COD,35.0,148.37,59.25,933.02,725.4,16.35,118.6
95,2721,66,2025-06-30 13:59:17,Delivered,UPI,0.0,0.0,0.0,312.76,312.76,29.16,91.2
96,1426,88,2025-08-05 10:57:18,Delivered,Card,15.0,0.0,0.0,1046.14,1046.14,25.19,263.52
97,700,111,2025-06-15 12:56:04,Delivered,Card,0.0,13.73,9.95,469.52,445.84,17.66,78.74
98,1186,191,2025-06-09 21:48:32,Delivered,UPI,0.0,0.0,0.0,449.45,449.45,23.4,105.17
99,2212,164,2025-09-25 17:25:35,Delivered,COD,15.0,75.36,71.0,817.91,671.55,15.23,102.28
100,2687,82,2025-06-10 19:38:17,Delivered,Card,15.0,94.19,38.22,778.83,646.42,27.08,175.05
101,545,98,2025-09-11 22:09:53,Delivered,UPI,0.0,88.17,22.14,872.78,762.47,16.47,125.58
102,2957,142,2025-06-11 21:41:31,Delivered,UPI,15.0,0.0,0.0,989.68,989.68,27.36,270.78
103,717,59,2025-07-20 14:05:29,Delivered,Card,15.0,40.71,25.57,997.91,931.63,27.89,259.83
104,2313,34,2025-07-13 19:29:21,Delivered,COD,35.0,50.74,39.54,357.1,266.82,27.79,74.15
105,2101,172,2025-06-08 19:45:04,Delivered,UPI,0.0,208.59,63.76,800.08,527.73,25.79,136.1
106,1378,154,2025-06-30 18:45:50,Cancelled,UPI,25.0,119.89,89.43,682.88,473.56,28.63,135.58
107,2557,179,2025-09-21 15:28:10,Delivered,Wallet,25.0,71.56,23.96,810.6,715.08,16.17,115.63
108,681,23,2025-07-17 22:24:01,Delivered,UPI,15.0,61.62,53.66,427.17,311.89,27.84,86.83
109,297,112,2025-08-05 15:31:53,Delivered,UPI,15.0,82.07,57.93,955.6,815.6,15.07,122.91
110,2318,38,2025-06-12 22:16:15,Delivered,Card,0.0,144.82,61.37,686.22,480.03,28.44,136.52
111,1850,104,2025-07-12 19:17:29,Delivered,Card,25.0,0.0,0.0,1051.78,1051.78,18.94,199.21
112,854,145,2025-06-14 12:08:29,Delivered,Wallet,35.0,23.27,26.33,360.59,310.99,25.08,78.0
113,2732,168,2025-09-10 23:43:47,Delivered,UPI,0.0,0.0,0.0,744.18,744.18,24.84,184.85
114,1100,73,2025-08-16 19:37:41,Delivered,UPI,0.0,0.0,0.0,285.19,285.19,15.74,44.89
115,2588,66,2025-06-10 23:21:12,Cancelled,COD,15.0,132.87,55.51,856.66,668.28,17.21,115.01
116,763,47,2025-09-20 11:16:31,Cancelled,UPI,15.0,0.0,0.0,641.55,641.55,23.11,148.26
117,1013,177,2025-08-02 23:42:48,Delivered,UPI,25.0,0.0,0.0,1151.39,1151.39,21.33,245.59
118,1815,94,2025-09-05 22:14:06,Delivered,UPI,0.0,0.0,0.0,755.92,755.92,23.2,175.37
119,1611,157,2025-09-03 23:24:51,Delivered,UPI,15.0,85.82,31.1,353.84,236.92,22.09,52.34
120,1157,55,2025-07-31 18:07:15,Delivered,COD,35.0,118.83,137.35,992.31,736.13,23.7,174.46
121,338,67,2025-06-10 10:38:46,Delivered,Card,25.0,80.09,64.25,561.6,417.26,23.0,95.97
122,2917,119,2025-08-15 23:19:36,Delivered,COD,0.0,66.64,22.66,443.66,354.36,28.54,101.13
123,2971,51,2025-08-03 13:16:37,Delivered,UPI,25.0,0.0,0.0,1051.69,1051.69,22.4,235.58
124,1963,44,2025-09-18 13:32:23,Delivered,Card,35.0,58.62,42.75,448.5,347.13,28.75,99.8
125,2654,63,2025-08-23 18:11:20,Delivered,Card,0.0,0.0,0.0,308.14,308.14,25.32,78.02
126,1376,177,2025-06-14 10:16:24,Delivered,COD,35.0,36.11,25.57,467.81,406.13,27.04,109.82
127,14,1,2025-08-29 19:24:15,Delivered,UPI,25.0,0.0,0.0,608.41,608.41,24.01,146.08
128,72,162,2025-06-02 20:09:34,Delivered,UPI,0.0,0.0,0.0,170.42,170.42,22.56,38.45
129,1345,68,2025-08-02 10:48:25,Delivered,UPI,35.0,122.72,63.43,953.36,767.21,23.85,182.98
130,11,187,2025-08-25 19:40:26,Delivered,COD,15.0,87.39,49.8,873.74,736.55,27.58,203.14
131,743,70,2025-09-12 21:52:13,Returned,Card,35.0,12.36,12.47,424.75,399.92,29.54,118.14
132,2716,158,2025-07-07 16:02:49,Delivered,UPI,0.0,58.49,86.18,977.06,832.39,23.58,196.28
133,447,109,2025-07-31 17:43:21,Cancelled,UPI,25.0,46.38,41.17,656.09,568.54,26.29,149.47
134,2802,90,2025-08-11 15:29:38,Delivered,UPI,15.0,267.02,117.46,1113.65,729.17,29.19,212.84
135,2837,64,2025-09-03 13:33:31,Delivered,Card,25.0,41.49,37.92,1085.76,1006.35,16.56,166.65
136,735,118,2025-09-06 23:18:42,Delivered,Card,15.0,0.0,0.0,452.1,452.1,21.16,95.66
137,604,125,2025-09-27 12:08:31,Delivered,COD,35.0,45.88,31.46,631.17,553.83,20.19,111.82
138,149,122,2025-08-22 17:25:44,Returned,COD,0.0,25.12,19.44,371.05,326.49,19.72,64.38
139,708,74,2025-06-25 12:46:01,Delivered,Card,0.0,92.62,61.24,785.32,631.46,27.15,171.44
140,2947,196,2025-07-11 14:50:14,Cancelled,COD,0.0,49.16,61.3,537.47,427.01,19.4,82.84
141,1285,119,2025-09-03 16:18:30,Delivered,COD,0.0,0.0,0.0,1097.66,1097.66,22.64,248.51
142,2598,169,2025-09-08 20:10:04,Delivered,COD,15.0,0.0,0.0,1107.87,1107.87,21.58,239.08
143,1404,109,2025-08-29 15:27:23,Cancelled,Card,25.0,70.14,93.26,747.95,584.55,15.69,91.72
144,1353,187,2025-07-01 21:59:56,Delivered,COD,25.0,190.54,59.44,845.0,595.02,24.0,142.8
145,1691,165,2025-09-10 23:26:38,Cancelled,UPI,0.0,0.0,0.0,1003.03,1003.03,27.5,275.83
146,1902,139,2025-08-13 20:16:35,Returned,Wallet,25.0,0.0,0.0,1121.23,1121.23,17.86,200.25
147,630,198,2025-08-16 15:55:30,Delivered,UPI,35.0,45.93,41.01,555.55,468.61,16.85,78.96
148,1088,199,2025-07-12 19:49:16,Delivered,UPI,15.0,0.0,0.0,946.3,946.3,15.76,149.14
149,461,59,2025-08-31 10:36:40,Delivered,Card,0.0,0.0,0.0,447.68,447.68,20.12,90.07
150,1752,134,2025-08-28 10:24:00,Delivered,Wallet,35.0,33.04,17.35,316.45,266.06,24.46,65.08
151,1390,164,2025-07-31 10:48:11,Delivered,UPI,15.0,70.74,82.84,899.6,746.02,22.9,170.84
152,848,139,2025-09-27 13:37:23,Returned,UPI,0.0,139.72,140.62,837.65,557.31,24.12,134.42
153,1500,61,2025-06-15 23:50:26,Delivered,Card,25.0,55.14,33.59,398.15,309.42,29.13,90.13
154,1205,61,2025-07-16 14:09:15,Delivered,UPI,15.0,155.76,123.12,836.95,558.07,20.25,113.01
155,17,75,2025-06-30 12:40:37,Delivered,Card,35.0,42.67,28.62,1137.67,1066.38,29.77,317.46
156,147,122,2025-08-20 22:25:21,Delivered,UPI,25.0,0.0,0.0,433.12,433.12,27.74,120.15
157,2728,166,2025-08-24 22:08:12,Delivered,UPI,0.0,69.71,52.8,878.78,756.27,16.81,127.13
158,2023,195,2025-06-30 13:12:18,Delivered,Card,0.0,0.0,0.0,676.93,676.93,23.42,158.54
159,2290,31,2025-07-03 23:15:10,Delivered,UPI,35.0,149.94,94.01,832.36,588.41,26.08,153.46
160,464,19,2025-08-20 20:25:05,Delivered,UPI,25.0,92.65,61.31,807.28,653.32,18.25,119.23
161,1188,3,2025-07-28 17:54:56,Delivered,UPI,15.0,109.42,74.76,619.02,434.84,27.96,121.58
162,1649,44,2025-07-02 19:39:14,Delivered,UPI,25.0,41.4,52.64,586.56,492.52,15.83,77.97
163,1002,184,2025-06-23 11:00:34,Delivered,UPI,25.0,0.0,0.0,1008.44,1008.44,18.16,183.13
164,2333,89,2025-07-03 13:28:57,Delivered,UPI,35.0,0.0,0.0,941.29,941.29,25.62,241.16
165,853,151,2025-08-07 14:36:42,Delivered,COD,25.0,0.0,0.0,631.58,631.58,28.07,177.28
166,2031,60,2025-08-06 10:51:53,Delivered,UPI,15.0,0.0,0.0,535.64,535.64,28.52,152.76
167,333,140,2025-07-25 12:37:38,Delivered,COD,0.0,0.0,0.0,190.28,190.28,23.74,45.17
168,865,52,2025-06-10 17:09:40,Cancelled,UPI,35.0,55.52,37.24,510.11,417.35,18.74,78.21
169,2296,69,2025-09-28 12:59:06,Delivered,UPI,25.0,66.99,88.32,503.69,348.38,22.55,78.56
170,1137,125,2025-08-11 13:03:33,Returned,UPI,35.0,125.29,124.57,982.01,732.15,24.1,176.45
171,289,200,2025-06-20 14:44:54,Returned,COD,0.0,99.55,42.8,662.73,520.38,15.85,82.48
172,1242,137,2025-09-14 12:15:23,Cancelled,COD,35.0,157.78,118.54,909.56,633.24,16.27,103.03
173,1683,89,2025-07-17 15:10:32,Cancelled,Card,0.0,93.49,74.22,978.49,810.78,28.12,227.99
174,275,20,2025-09-14 18:41:28,Delivered,COD,25.0,0.0,0.0,415.22,415.22,16.58,68.84
175,1874,154,2025-07-26 13:07:16,Delivered,UPI,35.0,52.58,20.02,348.06,275.46,15.43,42.5
176,1061,71,2025-07-03 16:11:10,Cancelled,UPI,15.0,99.95,62.07,1011.67,849.65,25.6,217.51
177,2240,64,2025-08-01 13:26:27,Delivered,COD,0.0,0.0,0.0,890.77,890.77,25.8,229.82
178,2057,27,2025-06-17 21:56:44,Delivered,Card,25.0,55.28,19.83,697.96,622.85,27.75,172.84
179,689,82,2025-08-04 12:53:07,Delivered,Wallet,15.0,0.0,0.0,445.13,445.13,26.8,119.29
180,1569,111,2025-06-18 22:56:38,Delivered,Card,0.0,34.16,38.29,503.27,430.82,27.61,118.95
181,2868,29,2025-06-16 21:16:36,Returned,UPI,0.0,69.27,33.16,1054.09,951.66,25.22,240.01
182,1464,137,2025-09-13 11:49:28,Delivered,UPI,25.0,180.29,90.04,783.38,513.05,28.83,147.91
183,1778,189,2025-06-23 20:53:09,Delivered,UPI,25.0,40.99,19.68,610.21,549.54,16.8,92.32
184,2609,180,2025-06-02 17:49:52,Cancelled,Card,35.0,0.0,0.0,1002.5,1002.5,25.74,258.04
185,1997,95,2025-07-11 20:06:22,Delivered,COD,15.0,59.13,30.85,675.38,585.4,27.54,161.22
186,2341,77,2025-08-16 22:46:45,Returned,Wallet,0.0,0.0,0.0,688.24,688.24,29.47,202.82
187,769,131,2025-08-06 16:35:34,Delivered,Card,35.0,44.07,23.9,674.21,606.24,27.57,167.14
188,330,121,2025-09-03 12:02:35,Delivered,UPI,35.0,0.0,0.0,635.02,635.02,20.16,128.02
189,2132,77,2025-07-03 14:36:13,Delivered,UPI,25.0,30.73,12.87,201.62,158.02,15.24,24.08
190,1077,77,2025-08-17 16:59:45,Delivered,UPI,0.0,214.62,161.67,1151.84,775.55,15.82,122.69
191,1148,19,2025-06-01 17:31:21,Delivered,COD,35.0,31.84,22.58,207.53,153.11,22.91,35.08
192,1860,75,2025-08-11 18:25:01,Delivered,Card,35.0,119.57,157.55,1110.35,833.23,25.11,209.22
193,1080,120,2025-07-21 11:40:01,Delivered,Card,0.0,0.0,0.0,467.77,467.77,21.69,101.46
194,1188,38,2025-07-03 19:45:21,Returned,Card,25.0,34.56,20.22,737.45,682.67,25.7,175.45
195,1593,199,2025-06-17 11:31:21,Delivered,UPI,35.0,118.74,118.94,904.97,667.29,28.86,192.58
196,1699,101,2025-08-10 23:34:44,Delivered,UPI,35.0,0.0,0.0,182.37,182.37,19.3,35.2
197,1710,151,2025-08-22 23:21:12,Delivered,Card,35.0,85.77,44.01,726.38,596.6,18.05,107.69
198,2844,70,2025-08-09 16:56:43,Delivered,UPI,0.0,131.22,117.61,990.7,741.87,16.6,123.15
199,1884,92,2025-06-30 11:43:26,Delivered,UPI,0.0,18.48,19.09,209.34,171.77,23.8,40.88
200,898,97,2025-07-09 22:42:42,Delivered,Wallet,15.0,0.0,0.0,718.04,718.04,21.77,156.32
201,1886,76,2025-07-05 20:43:56,Delivered,UPI,15.0,0.0,0.0,281.8,281.8,28.15,79.33
202,703,175,2025-06-01 12:36:21,Delivered,UPI,15.0,82.49,110.74,1062.55,869.32,25.2,219.07
203,717,128,2025-07-21 15:15:17,Delivered,UPI,25.0,0.0,0.0,468.38,468.38,27.55,129.04
204,2725,194,2025-09-14 16:12:39,Delivered,UPI,15.0,7.15,3.83,208.1,197.12,20.62,40.65
205,2412,114,2025-06-18 13:08:06,Delivered,COD,0.0,163.53,54.94,936.62,718.15,24.81,178.17
206,1460,150,2025-06-04 18:51:05,Delivered,UPI,25.0,0.0,0.0,727.1,727.1,22.41,162.94
207,2979,144,2025-08-18 20:17:46,Delivered,Card,25.0,50.4,23.38,1016.81,943.03,27.73,261.5
208,2429,102,2025-06-09 21:14:20,Cancelled,Card,25.0,46.44,64.75,382.2,271.01,19.64,53.23
209,1433,92,2025-07-17 20:55:37,Delivered,UPI,0.0,0.0,0.0,863.71,863.71,25.21,217.74
210,1879,173,2025-09-15 22:51:37,Delivered,Card,0.0,56.5,55.55,337.37,225.32,16.59,37.38
211,757,111,2025-07-10 10:19:13,Delivered,UPI,0.0,96.12,119.76,1176.29,960.41,23.78,228.39
212,966,24,2025-06-23 19:53:40,Delivered,UPI,35.0,0.0,0.0,1099.6,1099.6,25.93,285.13
213,1335,147,2025-06-29 11:35:18,Delivered,Card,25.0,0.0,0.0,209.99,209.99,28.71,60.29
214,95,92,2025-08-10 23:42:57,Delivered,Card,35.0,0.0,0.0,424.31,424.31,23.97,101.71
215,133,55,2025-09-01 23:29:28,Delivered,COD,15.0,0.0,0.0,1181.79,1181.79,15.28,180.58
216,1146,43,2025-06-07 22:48:56,Delivered,UPI,0.0,0.0,0.0,434.05,434.05,18.17,78.87
217,2139,155,2025-06-08 13:09:12,Delivered,UPI,0.0,0.0,0.0,981.8,981.8,25.3,248.4
218,661,11,2025-06-02 11:40:01,Delivered,UPI,35.0,0.0,0.0,628.1,628.1,26.03,163.49
219,1898,139,2025-09-01 10:25:55,Delivered,UPI,0.0,101.35,142.35,944.37,700.67,25.09,175.8
220,1265,141,2025-09-08 12:43:53,Delivered,UPI,25.0,127.92,137.21,993.43,728.3,27.63,201.23
221,2196,29,2025-09-13 13:50:45,Delivered,UPI,25.0,0.0,0.0,965.39,965.39,20.3,195.97
222,2514,191,2025-06-21 23:02:17,Delivered,COD,15.0,103.21,29.65,710.15,577.29,25.58,147.67
223,2556,33,2025-08-01 14:46:30,Delivered,COD,35.0,23.8,6.55,295.59,265.24,24.79,65.75
224,2049,179,2025-08-09 17:03:04,Delivered,Card,0.0,127.34,144.81,813.36,541.21,17.3,93.63
225,578,187,2025-06-07 10:15:16,Delivered,UPI,15.0,0.0,0.0,286.39,286.39,25.29,72.43
226,1111,41,2025-08-25 19:33:59,Delivered,UPI,35.0,29.67,31.44,660.36,599.25,28.39,170.13
227,1843,97,2025-09-27 15:09:15,Cancelled,COD,0.0,129.33,81.68,615.49,404.48,28.7,116.09
228,74,125,2025-07-30 23:00:51,Cancelled,Wallet,25.0,104.03,58.07,558.29,396.19,21.42,84.86
229,228,66,2025-08-29 14:49:13,Delivered,COD,0.0,17.56,7.67,168.96,143.73,18.63,26.78
230,409,112,2025-06-18 16:52:20,Delivered,Card,0.0,30.48,8.93,447.46,408.05,15.48,63.17
231,1378,137,2025-08-15 11:37:04,Delivered,COD,25.0,46.07,22.04,290.22,222.11,19.32,42.91
232,1002,125,2025-09-14 22:50:09,Delivered,Wallet,0.0,29.88,26.67,173.31,116.76,18.62,21.74
233,1970,132,2025-09-12 20:47:31,Delivered,UPI,0.0,109.29,43.92,897.61,744.4,22.2,165.26
234,2929,41,2025-08-20 23:38:53,Delivered,Card,35.0,129.25,50.01,608.03,428.77,18.6,79.75
235,2940,185,2025-06-06 10:07:32,Delivered,UPI,0.0,10.23,13.69,249.51,225.59,20.11,45.37
236,1292,161,2025-09-28 16:16:57,Delivered,UPI,15.0,0.0,0.0,291.94,291.94,18.11,52.87
237,2801,118,2025-08-19 17:23:12,Delivered,Card,0.0,29.25,8.5,219.19,181.44,21.09,38.27
238,1370,110,2025-08-20 10:24:33,Cancelled,COD,0.0,0.0,0.0,1180.04,1180.04,23.37,275.78
239,401,48,2025-08-23 19:47:18,Delivered,UPI,15.0,0.0,0.0,920.07,920.07,17.45,160.55
240,365,35,2025-06-15 10:25:34,Delivered,Wallet,25.0,25.61,23.15,949.53,900.77,26.95,242.76
241,2653,96,2025-07-02 14:58:04,Delivered,UPI,15.0,26.72,11.88,155.58,116.98,19.99,23.38
242,1733,131,2025-07-07 14:36:02,Cancelled,COD,15.0,0.0,0.0,1117.53,1117.53,18.06,201.83
243,1444,161,2025-08-03 19:47:39,Delivered,UPI,35.0,58.13,40.33,494.04,395.58,15.33,60.64
244,2668,191,2025-08-13 16:11:19,Delivered,COD,25.0,0.0,0.0,215.86,215.86,16.04,34.62
